Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAF-657,0.3991739744974673,0.10896518493338522,3.885357142857143,0.6957675332447327,0.05355925925925926,0.09061107191329518,28.0,delta_rise=0.0_fall=0.0,13,2.1538461538461537,0.6617173282340483
CAF-657,,,,,,,,delta_rise=0.0_fall=0.2,12,2.3333333333333335,0.8498365855987975
CAF-657,,,,,,,,delta_rise=0.0_fall=0.5,9,3.111111111111111,1.5234788000891208
CAF-657,,,,,,,,delta_rise=0.0_fall=0.8,8,3.111111111111111,1.5234788000891208
CAF-657,,,,,,,,delta_rise=0.0_fall=1.0,7,3.5,2.5
CAF-657,,,,,,,,delta_rise=0.2_fall=0.0,14,2.0,0.7559289460184544
CAF-657,,,,,,,,delta_rise=0.2_fall=0.2,13,2.1538461538461537,0.9483713850721502
CAF-657,,,,,,,,delta_rise=0.2_fall=0.5,9,3.111111111111111,1.5234788000891208
CAF-657,,,,,,,,delta_rise=0.2_fall=0.8,8,3.111111111111111,1.5234788000891208
CAF-657,,,,,,,,delta_rise=0.2_fall=1.0,7,3.5,2.5
CAF-657,,,,,,,,delta_rise=0.5_fall=0.0,19,1.4736842105263157,0.49930699897395464
CAF-657,,,,,,,,delta_rise=0.5_fall=0.2,19,1.4736842105263157,0.49930699897395464
CAF-657,,,,,,,,delta_rise=0.5_fall=0.5,15,1.8666666666666667,1.024152766382481
CAF-657,,,,,,,,delta_rise=0.5_fall=0.8,14,1.8666666666666667,1.024152766382481
CAF-657,,,,,,,,delta_rise=0.5_fall=1.0,12,2.1538461538461537,1.8747780933775295
CAF-657,,,,,,,,delta_rise=0.8_fall=0.0,19,1.4736842105263157,0.49930699897395464
CAF-657,,,,,,,,delta_rise=0.8_fall=0.2,19,1.4736842105263157,0.49930699897395464
CAF-657,,,,,,,,delta_rise=0.8_fall=0.5,15,1.8666666666666667,1.024152766382481
CAF-657,,,,,,,,delta_rise=0.8_fall=0.8,14,1.8666666666666667,1.024152766382481
CAF-657,,,,,,,,delta_rise=0.8_fall=1.0,12,2.1538461538461537,1.8747780933775295
CAF-657,,,,,,,,delta_rise=1.0_fall=0.0,20,1.4,0.48989794855663565
CAF-657,,,,,,,,delta_rise=1.0_fall=0.2,20,1.4,0.48989794855663565
CAF-657,,,,,,,,delta_rise=1.0_fall=0.5,17,1.6470588235294117,0.9665692191267637
CAF-657,,,,,,,,delta_rise=1.0_fall=0.8,16,1.6470588235294117,0.9665692191267637
CAF-657,,,,,,,,delta_rise=1.0_fall=1.0,16,1.6470588235294117,0.9665692191267637
CAF-657,,,,,,,,multimodal_alpha=0.0,2,9.333333333333334,4.189935029992179
CAF-657,,,,,,,,multimodal_alpha=0.1,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.2,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.3,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.4,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.5,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.6,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.7,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.8,9,2.8,0.9797958971132713
CAF-657,,,,,,,,multimodal_alpha=0.9,9,2.8,0.7483314773547882
CAF-657,,,,,,,,multimodal_alpha=1.0,10,2.5454545454545454,0.6555547773570889
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.0,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.2,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.5,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=0.8,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.0_fall=1.0,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=0.0,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=0.2,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=0.5,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=0.8,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.2_fall=1.0,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=0.0,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=0.2,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=0.5,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=0.8,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.5_fall=1.0,17,1.6470588235294117,1.0256232808330996
CAF-657,,,,,,,,multimodaldelta_alpha=0.0_rise=0.8_fall=0.0,17,1.6470588235294117,1.0256232808330996
